com-, con-, co-	ともに、強意
magnesio-, magnes-	［元素］マグネシウム
Malayo-, Malay-	マレーの
mangano-, mangan-	[元素]マンガンの
manganoso-, manganos-	[元素]マンガン
medio-, medi-	中間の
Medo-, Med-	メディア（地名）の
melo-, mel-	頬、四肢、手足
mela-, mel-	黒い、暗い
mello-, mell-	蜂蜜、蜂蜜のような
membrano-, membran-	膜、膜状の
mero-, mer-	海の、人魚の
mero-, mer-	もも、大腿部
mero-, mer-	部分の
meteoro-, meteor-	天文学、天気、気候、隕石
mio-, mi-	少ない、収縮
Moldo-, Mold-	モルダビアの
molybdo-, molybd-	[元素]鉛、モリブデン
Mongolo-, Mongol-	モンゴルの
moto-, mot-	動き、運動、モーター
muco-, muc-	粘液
muscio-, musci-	ハエ
myo-, my-	筋肉
myco-, myc-	菌類
myceto-, mycet-	菌類
myio-, myi-	ハエ
myrmeco-, myrmec-	蟻
myxo-, myx-	粘液、粘液性の
naphtho-, naphth-	［物質］ナフサ、ナフタリン、ナフトエ酸、ナフトール
necto-, nect-	泳ぐ
nephro-, nephr-	腎臓
nitro-, nitr-	[物質]硝酸～、窒素～
nocto-, noct-	夜
nucleolo-, nucleol-	小核
oculo-, ocul-	目
oophoro-, oophor-	卵巣
operculio-, operculi-	蓋
optico-, optic-	光学の、視覚の、視力の
osmo-, osm-	臭い、浸透
oto-, ot-	耳
ovo-, ov-	卵、卵形
ovario-, ovari-	卵巣、子房
oxo-, ox-	[物質]シュウ酸
oxido-, oxid-	酸化物
palio-, pali-	再発、反復
pancreato-, pancreat-	膵臓
papyro-, papyr-	紙、パピルス
parasito-, parasit-	寄生生物
partio-, parti-	部分
pedio-, pedi-	平坦な表面、平地、足の裏
penta-, pent-	5
pentadeca-, pentadec-	15
phaeno-, phaen-	表す、[物質]ベンゼン、フェノール基の
phanero-, phaner-	可視の、明白な、開かれた
phaso-, phas-	段階
phello-, phell-	樹皮、コルク
phlebo-, phleb-	静脈、血管
phoso-, phos-	光
phthalo-, phthal-	[物質]フタル酸
pico-, pic-	一兆分の1
picto-, pict-	絵
pigmento-, pigment-	色素
pinaco-, pinac-	板、錠剤、タブレット
pistillo-, pistill-	雄しべ
plasmo-, plasm-	血漿、原形質
plasmato-, plasmat-	血漿、原形質
plasmodo-, plasmod-	マラリア原虫の
plasto-, plast-	形成、プラスチック、細胞質、色素
plato-, plat-	平坦な、平らな
pleio-, plei-	より多くの
pneumono-, pneumon-	肺
podo-, pod-	足、足のような
pogono-, pogon-	ひげ、ひげ状の
politico-, politic-	政治の
pollino-, pollin-	花粉の
presbyo-, presby-	老、長老の
pretero-, preter-	超、過
prolio-, proli-	子孫
propo-, prop-	[物質]プロピオン酸
proso-, pros-	～前方へ
proteo-, prote-	タンパク質
psychro-, psychr-	冷たい、寒い
ptilo-, ptil-	羽毛、羽状
pupillo-, pupill-	瞳孔
purpurio-, purpuri-	紫
pyo-, py-	膿、化膿
